,order_id,customer_id,product_id,quantity,order_date,product_name,category,price,Total_Price,Year,Month
75,O00076,C0441,P041,5,2022-01-15,Behind,Footwear,465.37,2326.85,2022,1
76,O00077,C0324,P028,2,2022-01-31,Work,Home,796.29,1592.58,2022,1
77,O00078,C0108,P080,3,2022-01-20,Organization,Footwear,642.94,1928.8200000000002,2022,1
78,O00079,C0352,P045,2,2022-01-09,Compare,Footwear,236.05,472.1,2022,1
79,O00080,C0364,P084,2,2022-01-29,Pay,Home,348.97,697.94,2022,1
80,O00081,C0258,P070,3,2022-01-24,Country,Home,822.15,2466.45,2022,1
81,O00082,C0364,P015,3,2022-01-03,Strategy,Home,352.12,1056.3600000000001,2022,1
82,O00083,C0288,P062,5,2022-01-12,Program,Clothing,315.16,1575.8000000000002,2022,1
83,O00084,C0293,P086,4,2022-01-27,Edge,Home,908.91,3635.64,2022,1
84,O00085,C0346,P096,5,2022-01-11,Service,Footwear,872.76,4363.8,2022,1
85,O00086,C0147,P055,1,2022-01-06,According,Footwear,143.58,143.58,2022,1
86,O00087,C0268,P014,1,2022-01-04,Yes,Footwear,414.78,414.78,2022,1
87,O00088,C0196,P019,1,2022-01-13,Feeling,Accessories,128.68,128.68,2022,1
88,O00089,C0344,P008,2,2022-01-13,Table,Clothing,810.83,1621.66,2022,1
89,O00090,C0137,P097,2,2022-01-31,Away,Home,932.46,1864.92,2022,1
90,O00091,C0147,P088,3,2022-01-15,Trip,Electronics,403.85,1211.5500000000002,2022,1
91,O00092,C0075,P008,3,2022-01-09,Table,Clothing,810.83,2432.4900000000002,2022,1
92,O00093,C0105,P097,5,2022-01-27,Away,Home,932.46,4662.3,2022,1
93,O00094,C0017,P046,4,2022-01-13,Around,Electronics,900.08,3600.32,2022,1
94,O00095,C0053,P079,5,2022-01-23,Dream,Clothing,721.44,3607.2000000000003,2022,1
95,O00096,C0443,P029,5,2022-01-28,Believe,Electronics,205.62,1028.1,2022,1
96,O00097,C0200,P031,5,2022-01-16,Eat,Clothing,168.44,842.2,2022,1
97,O00098,C0402,P090,3,2022-01-26,Perform,Electronics,947.55,2842.6499999999996,2022,1
98,O00099,C0355,P086,1,2022-01-14,Edge,Home,908.91,908.91,2022,1
99,O00100,C0184,P010,3,2022-02-13,Able,Home,683.1,2049.3,2022,2
100,O00101,C0270,P029,2,2022-02-14,Believe,Electronics,205.62,411.24,2022,2
101,O00102,C0267,P009,5,2022-02-26,Manage,Accessories,258.37,1291.85,2022,2
102,O00103,C0082,P054,5,2022-02-22,Follow,Electronics,338.23,1691.15,2022,2
103,O00104,C0275,P052,1,2022-02-11,List,Clothing,940.13,940.13,2022,2
104,O00105,C0179,P029,2,2022-02-18,Believe,Electronics,205.62,411.24,2022,2
105,O00106,C0340,P043,3,2022-02-02,Force,Clothing,748.87,2246.61,2022,2
106,O00107,C0185,P038,2,2022-02-01,Black,Electronics,817.52,1635.04,2022,2
107,O00108,C0487,P097,5,2022-02-24,Away,Home,932.46,4662.3,2022,2
108,O00109,C0272,P061,5,2022-02-09,Stage,Clothing,155.92,779.5999999999999,2022,2
109,O00110,C0422,P097,1,2022-02-07,Away,Home,932.46,932.46,2022,2
110,O00111,C0059,P086,3,2022-02-20,Edge,Home,908.91,2726.73,2022,2
111,O00112,C0229,P031,5,2022-02-28,Eat,Clothing,168.44,842.2,2022,2
112,O00113,C0471,P080,2,2022-02-25,Organization,Footwear,642.94,1285.88,2022,2
113,O00114,C0491,P006,3,2022-02-28,Keep,Electronics,990.01,2970.0299999999997,2022,2
114,O00115,C0196,P015,4,2022-02-28,Strategy,Home,352.12,1408.48,2022,2
115,O00116,C0132,P070,3,2022-02-15,Country,Home,822.15,2466.45,2022,2
116,O00117,C0013,P067,3,2022-02-27,Possible,Clothing,763.65,2290.95,2022,2
117,O00118,C0264,P066,4,2022-02-08,Such,Accessories,572.04,2288.16,2022,2
118,O00119,C0250,P006,3,2022-02-21,Keep,Electronics,990.01,2970.0299999999997,2022,2
119,O00120,C0460,P084,2,2022-02-23,Pay,Home,348.97,697.94,2022,2
120,O00121,C0165,P066,1,2022-02-23,Such,Accessories,572.04,572.04,2022,2
121,O00122,C0486,P013,2,2022-02-21,Drive,Electronics,474.22,948.44,2022,2
122,O00123,C0498,P099,5,2022-02-12,So,Electronics,698.17,3490.85,2022,2
123,O00124,C0274,P001,1,2022-02-25,Stage,Clothing,534.93,534.93,2022,2
124,O00125,C0108,P086,2,2022-02-19,Edge,Home,908.91,1817.82,2022,2
125,O00126,C0443,P088,4,2022-02-18,Trip,Electronics,403.85,1615.4,2022,2
126,O00127,C0428,P014,2,2022-02-24,Yes,Footwear,414.78,829.56,2022,2
127,O00128,C0276,P090,4,2022-02-20,Perform,Electronics,947.55,3790.2,2022,2
128,O00129,C0332,P010,2,2022-02-07,Able,Home,683.1,1366.2,2022,2
129,O00130,C0013,P059,3,2022-02-25,Network,Home,894.42,2683.2599999999998,2022,2
130,O00131,C0020,P012,1,2022-02-24,Section,Footwear,597.66,597.66,2022,2
131,O00132,C0028,P023,3,2022-02-07,Seem,Footwear,71.16,213.48,2022,2
132,O00133,C0286,P010,5,2022-02-10,Able,Home,683.1,3415.5,2022,2
133,O00134,C0421,P030,3,2022-02-15,Ask,Footwear,167.84,503.52,2022,2
134,O00135,C0209,P050,4,2022-02-06,Operation,Accessories,626.12,2504.48,2022,2
135,O00136,C0323,P052,4,2022-02-22,List,Clothing,940.13,3760.52,2022,2
136,O00137,C0162,P003,4,2022-02-03,Number,Home,339.92,1359.68,2022,2
137,O00138,C0345,P016,5,2022-02-06,Mind,Footwear,929.88,4649.4,2022,2
138,O00139,C0004,P083,5,2022-02-06,Ready,Accessories,255.54,1277.7,2022,2
139,O00140,C0033,P097,5,2022-02-24,Away,Home,932.46,4662.3,2022,2
140,O00141,C0024,P090,1,2022-02-17,Perform,Electronics,947.55,947.55,2022,2
141,O00142,C0184,P065,1,2022-02-04,Environmental,Electronics,38.36,38.36,2022,2
142,O00143,C0149,P088,3,2022-02-13,Trip,Electronics,403.85,1211.5500000000002,2022,2
143,O00144,C0311,P012,3,2022-02-02,Section,Footwear,597.66,1792.98,2022,2
144,O00145,C0392,P057,4,2022-02-14,On,Accessories,621.97,2487.88,2022,2
145,O00146,C0203,P085,1,2022-02-09,Really,Electronics,185.69,185.69,2022,2
146,O00147,C0243,P021,5,2022-02-18,Art,Electronics,938.65,4693.25,2022,2
147,O00148,C0113,P018,4,2022-02-09,Maybe,Accessories,965.2,3860.8,2022,2
148,O00149,C0408,P070,3,2022-02-05,Country,Home,822.15,2466.45,2022,2
149,O00150,C0492,P082,2,2022-02-06,West,Footwear,545.01,1090.02,2022,2
150,O00151,C0153,P087,3,2022-02-19,Body,Footwear,585.47,1756.41,2022,2
151,O00152,C0491,P002,5,2022-02-28,Least,Accessories,56.56,282.8,2022,2
152,O00153,C0448,P072,2,2022-02-09,Phone,Footwear,847.22,1694.44,2022,2
153,O00154,C0064,P006,1,2022-02-01,Keep,Electronics,990.01,990.01,2022,2
154,O00155,C0294,P077,4,2022-02-11,Government,Clothing,233.11,932.44,2022,2
155,O00156,C0276,P071,1,2022-02-15,Same,Electronics,115.08,115.08,2022,2
156,O00157,C0157,P027,3,2022-02-23,Ahead,Clothing,144.07,432.21,2022,2
157,O00158,C0109,P053,5,2022-02-05,Be,Home,629.57,3147.8500000000004,2022,2
158,O00159,C0073,P021,2,2022-02-02,Art,Electronics,938.65,1877.3,2022,2
159,O00160,C0114,P079,3,2022-02-05,Dream,Clothing,721.44,2164.32,2022,2
160,O00161,C0100,P015,2,2022-02-11,Strategy,Home,352.12,704.24,2022,2
161,O00162,C0344,P073,1,2022-02-20,Second,Electronics,131.85,131.85,2022,2
162,O00163,C0436,P097,5,2022-02-02,Away,Home,932.46,4662.3,2022,2
163,O00164,C0237,P083,5,2022-02-25,Ready,Accessories,255.54,1277.7,2022,2
164,O00165,C0038,P038,1,2022-02-21,Black,Electronics,817.52,817.52,2022,2
165,O00166,C0129,P013,2,2022-02-20,Drive,Electronics,474.22,948.44,2022,2
166,O00167,C0372,P075,4,2022-02-27,Some,Accessories,798.31,3193.24,2022,2
167,O00168,C0488,P043,3,2022-02-22,Force,Clothing,748.87,2246.61,2022,2
168,O00169,C0066,P086,2,2022-02-10,Edge,Home,908.91,1817.82,2022,2
169,O00170,C0052,P037,5,2022-02-16,Store,Home,395.48,1977.4,2022,2
170,O00171,C0036,P025,3,2022-02-26,General,Accessories,576.6,1729.8000000000002,2022,2
171,O00172,C0249,P058,3,2022-02-19,Job,Accessories,535.79,1607.37,2022,2
172,O00173,C0316,P085,3,2022-02-18,Really,Electronics,185.69,557.0699999999999,2022,2
173,O00174,C0187,P065,1,2022-03-19,Environmental,Electronics,38.36,38.36,2022,3
174,O00175,C0340,P031,5,2022-03-05,Eat,Clothing,168.44,842.2,2022,3
175,O00176,C0351,P022,5,2022-03-19,Tax,Home,185.33,926.6500000000001,2022,3
176,O00177,C0072,P058,2,2022-03-19,Job,Accessories,535.79,1071.58,2022,3
177,O00178,C0092,P073,5,2022-03-12,Second,Electronics,131.85,659.25,2022,3
178,O00179,C0338,P019,4,2022-03-26,Feeling,Accessories,128.68,514.72,2022,3
179,O00180,C0481,P046,1,2022-03-11,Around,Electronics,900.08,900.08,2022,3
180,O00181,C0113,P098,4,2022-03-31,Decision,Accessories,567.31,2269.24,2022,3
181,O00182,C0119,P009,3,2022-03-14,Manage,Accessories,258.37,775.11,2022,3
182,O00183,C0190,P030,1,2022-03-06,Ask,Footwear,167.84,167.84,2022,3
183,O00184,C0343,P027,5,2022-03-01,Ahead,Clothing,144.07,720.3499999999999,2022,3
184,O00185,C0465,P047,4,2022-03-11,Standard,Footwear,386.97,1547.88,2022,3
185,O00186,C0241,P059,1,2022-03-08,Network,Home,894.42,894.42,2022,3
186,O00187,C0021,P084,3,2022-03-26,Pay,Home,348.97,1046.91,2022,3
187,O00188,C0053,P091,5,2022-03-08,Foot,Clothing,157.58,787.9000000000001,2022,3
188,O00189,C0325,P036,3,2022-03-23,News,Clothing,877.81,2633.43,2022,3
189,O00190,C0297,P070,5,2022-03-24,Country,Home,822.15,4110.75,2022,3
190,O00191,C0090,P049,4,2022-03-21,Town,Electronics,906.94,3627.76,2022,3
191,O00192,C0188,P076,1,2022-03-14,Amount,Electronics,154.17,154.17,2022,3
192,O00193,C0265,P033,4,2022-03-09,The,Footwear,666.87,2667.48,2022,3
193,O00194,C0499,P029,5,2022-03-27,Believe,Electronics,205.62,1028.1,2022,3
194,O00195,C0208,P046,3,2022-03-12,Around,Electronics,900.08,2700.2400000000002,2022,3
195,O00196,C0250,P062,5,2022-03-05,Program,Clothing,315.16,1575.8000000000002,2022,3
196,O00197,C0004,P065,2,2022-03-22,Environmental,Electronics,38.36,76.72,2022,3
197,O00198,C0226,P022,2,2022-03-24,Tax,Home,185.33,370.66,2022,3
198,O00199,C0040,P066,3,2022-03-11,Such,Accessories,572.04,1716.12,2022,3
199,O00200,C0109,P020,2,2022-03-29,Light,Accessories,732.21,1464.42,2022,3
200,O00201,C0081,P047,5,2022-03-16,Standard,Footwear,386.97,1934.8500000000001,2022,3
201,O00202,C0368,P016,2,2022-03-15,Mind,Footwear,929.88,1859.76,2022,3
202,O00203,C0213,P043,1,2022-03-15,Force,Clothing,748.87,748.87,2022,3
203,O00204,C0247,P087,4,2022-03-12,Body,Footwear,585.47,2341.88,2022,3
204,O00205,C0246,P027,5,2022-03-25,Ahead,Clothing,144.07,720.3499999999999,2022,3
205,O00206,C0083,P083,4,2022-03-10,Ready,Accessories,255.54,1022.16,2022,3
206,O00207,C0012,P032,1,2022-03-16,Most,Clothing,815.5,815.5,2022,3
207,O00208,C0066,P074,5,2022-03-18,Add,Electronics,400.3,2001.5,2022,3
208,O00209,C0083,P018,5,2022-03-04,Maybe,Accessories,965.2,4826.0,2022,3
209,O00210,C0021,P074,2,2022-03-06,Add,Electronics,400.3,800.6,2022,3
210,O00211,C0029,P022,3,2022-03-21,Tax,Home,185.33,555.99,2022,3
211,O00212,C0473,P024,5,2022-03-20,Night,Footwear,742.42,3712.1,2022,3
212,O00213,C0491,P052,5,2022-03-03,List,Clothing,940.13,4700.65,2022,3
213,O00214,C0497,P073,1,2022-03-27,Second,Electronics,131.85,131.85,2022,3
214,O00215,C0450,P093,3,2022-03-09,Why,Clothing,508.36,1525.08,2022,3
215,O00216,C0485,P011,2,2022-03-28,Senior,Electronics,761.43,1522.86,2022,3
216,O00217,C0230,P078,4,2022-03-27,Where,Accessories,723.64,2894.56,2022,3
217,O00218,C0445,P062,2,2022-03-05,Program,Clothing,315.16,630.32,2022,3
218,O00219,C0113,P053,5,2022-03-29,Be,Home,629.57,3147.8500000000004,2022,3
219,O00220,C0074,P075,2,2022-03-18,Some,Accessories,798.31,1596.62,2022,3
220,O00221,C0320,P085,5,2022-03-07,Really,Electronics,185.69,928.45,2022,3
221,O00222,C0136,P022,3,2022-03-09,Tax,Home,185.33,555.99,2022,3
222,O00223,C0473,P059,5,2022-03-24,Network,Home,894.42,4472.099999999999,2022,3
223,O00224,C0303,P009,2,2022-03-29,Manage,Accessories,258.37,516.74,2022,3
224,O00225,C0194,P050,2,2022-03-21,Operation,Accessories,626.12,1252.24,2022,3
225,O00226,C0056,P003,2,2022-03-03,Number,Home,339.92,679.84,2022,3
226,O00227,C0268,P065,4,2022-03-24,Environmental,Electronics,38.36,153.44,2022,3
227,O00228,C0424,P020,5,2022-03-03,Light,Accessories,732.21,3661.05,2022,3
228,O00229,C0050,P023,4,2022-03-29,Seem,Footwear,71.16,284.64,2022,3
229,O00230,C0462,P079,5,2022-03-01,Dream,Clothing,721.44,3607.2000000000003,2022,3
230,O00231,C0020,P069,5,2022-03-28,Prepare,Accessories,345.37,1726.85,2022,3
231,O00232,C0386,P016,1,2022-03-17,Mind,Footwear,929.88,929.88,2022,3
232,O00233,C0247,P085,2,2022-03-21,Really,Electronics,185.69,371.38,2022,3
233,O00234,C0462,P078,5,2022-03-01,Where,Accessories,723.64,3618.2,2022,3
234,O00235,C0424,P001,4,2022-03-27,Stage,Clothing,534.93,2139.72,2022,3
235,O00236,C0268,P054,3,2022-03-19,Follow,Electronics,338.23,1014.69,2022,3
236,O00237,C0448,P006,5,2022-03-19,Keep,Electronics,990.01,4950.05,2022,3
237,O00238,C0220,P030,4,2022-03-13,Ask,Footwear,167.84,671.36,2022,3
238,O00239,C0405,P099,4,2022-03-25,So,Electronics,698.17,2792.68,2022,3
239,O00240,C0180,P076,5,2022-03-19,Amount,Electronics,154.17,770.8499999999999,2022,3
240,O00241,C0051,P055,2,2022-03-07,According,Footwear,143.58,287.16,2022,3
241,O00242,C0131,P062,2,2022-03-30,Program,Clothing,315.16,630.32,2022,3
242,O00243,C0466,P011,3,2022-03-02,Senior,Electronics,761.43,2284.29,2022,3
243,O00244,C0307,P070,4,2022-03-18,Country,Home,822.15,3288.6,2022,3
244,O00245,C0132,P025,1,2022-03-09,General,Accessories,576.6,576.6,2022,3
245,O00246,C0364,P096,1,2022-03-18,Service,Footwear,872.76,872.76,2022,3
246,O00247,C0296,P067,1,2022-03-29,Possible,Clothing,763.65,763.65,2022,3
247,O00248,C0267,P001,4,2022-03-18,Stage,Clothing,534.93,2139.72,2022,3
248,O00249,C0336,P027,3,2022-03-16,Ahead,Clothing,144.07,432.21,2022,3
249,O00250,C0210,P047,1,2022-03-21,Standard,Footwear,386.97,386.97,2022,3
250,O00251,C0080,P055,5,2022-03-25,According,Footwear,143.58,717.9000000000001,2022,3
251,O00252,C0130,P034,5,2022-03-05,Many,Electronics,525.45,2627.25,2022,3
252,O00253,C0217,P073,3,2022-03-12,Second,Electronics,131.85,395.54999999999995,2022,3
253,O00254,C0314,P036,4,2022-03-13,News,Clothing,877.81,3511.24,2022,3
254,O00255,C0387,P027,4,2022-03-08,Ahead,Clothing,144.07,576.28,2022,3
255,O00256,C0283,P072,4,2022-03-29,Phone,Footwear,847.22,3388.88,2022,3
256,O00257,C0092,P048,5,2022-03-25,Consumer,Clothing,545.84,2729.2000000000003,2022,3
257,O00258,C0285,P062,3,2022-03-19,Program,Clothing,315.16,945.48,2022,3
258,O00259,C0158,P074,3,2022-03-24,Add,Electronics,400.3,1200.9,2022,3
259,O00260,C0397,P091,4,2022-03-28,Foot,Clothing,157.58,630.32,2022,3
260,O00261,C0377,P018,1,2022-03-10,Maybe,Accessories,965.2,965.2,2022,3
261,O00262,C0383,P030,4,2022-03-05,Ask,Footwear,167.84,671.36,2022,3
262,O00263,C0401,P090,2,2022-03-15,Perform,Electronics,947.55,1895.1,2022,3
263,O00264,C0052,P028,5,2022-03-17,Work,Home,796.29,3981.45,2022,3
264,O00265,C0206,P044,5,2022-03-17,Detail,Home,505.21,2526.0499999999997,2022,3
265,O00266,C0315,P090,1,2022-03-03,Perform,Electronics,947.55,947.55,2022,3
266,O00267,C0083,P050,1,2022-03-13,Operation,Accessories,626.12,626.12,2022,3
267,O00268,C0500,P021,1,2022-04-27,Art,Electronics,938.65,938.65,2022,4
268,O00269,C0142,P100,4,2022-04-05,Everything,Home,922.89,3691.56,2022,4
269,O00270,C0181,P086,4,2022-04-16,Edge,Home,908.91,3635.64,2022,4
270,O00271,C0208,P076,2,2022-04-30,Amount,Electronics,154.17,308.34,2022,4
271,O00272,C0266,P002,1,2022-04-20,Least,Accessories,56.56,56.56,2022,4
272,O00273,C0471,P012,5,2022-04-14,Section,Footwear,597.66,2988.2999999999997,2022,4
273,O00274,C0146,P093,5,2022-04-03,Why,Clothing,508.36,2541.8,2022,4
274,O00275,C0469,P075,3,2022-04-03,Some,Accessories,798.31,2394.93,2022,4
275,O00276,C0178,P036,2,2022-04-09,News,Clothing,877.81,1755.62,2022,4
276,O00277,C0311,P025,4,2022-04-08,General,Accessories,576.6,2306.4,2022,4
277,O00278,C0477,P052,5,2022-04-12,List,Clothing,940.13,4700.65,2022,4
278,O00279,C0003,P034,2,2022-04-03,Many,Electronics,525.45,1050.9,2022,4
279,O00280,C0209,P065,1,2022-04-20,Environmental,Electronics,38.36,38.36,2022,4
280,O00281,C0287,P010,5,2022-04-02,Able,Home,683.1,3415.5,2022,4
281,O00282,C0151,P044,1,2022-04-24,Detail,Home,505.21,505.21,2022,4
282,O00283,C0412,P066,3,2022-04-13,Such,Accessories,572.04,1716.12,2022,4
283,O00284,C0449,P069,5,2022-04-30,Prepare,Accessories,345.37,1726.85,2022,4
284,O00285,C0129,P089,4,2022-04-13,Value,Accessories,464.7,1858.8,2022,4
285,O00286,C0495,P049,5,2022-04-20,Town,Electronics,906.94,4534.700000000001,2022,4
286,O00287,C0248,P099,2,2022-04-21,So,Electronics,698.17,1396.34,2022,4
287,O00288,C0388,P044,4,2022-04-17,Detail,Home,505.21,2020.84,2022,4
288,O00289,C0349,P059,5,2022-04-10,Network,Home,894.42,4472.099999999999,2022,4
289,O00290,C0442,P004,4,2022-04-23,Evening,Clothing,138.74,554.96,2022,4
290,O00291,C0060,P034,1,2022-04-20,Many,Electronics,525.45,525.45,2022,4
291,O00292,C0196,P082,2,2022-04-02,West,Footwear,545.01,1090.02,2022,4
292,O00293,C0347,P090,2,2022-04-25,Perform,Electronics,947.55,1895.1,2022,4
293,O00294,C0410,P041,4,2022-04-27,Behind,Footwear,465.37,1861.48,2022,4
294,O00295,C0490,P046,5,2022-04-06,Around,Electronics,900.08,4500.400000000001,2022,4
295,O00296,C0275,P002,3,2022-04-21,Least,Accessories,56.56,169.68,2022,4
296,O00297,C0128,P037,1,2022-04-16,Store,Home,395.48,395.48,2022,4
297,O00298,C0205,P087,3,2022-04-15,Body,Footwear,585.47,1756.41,2022,4
298,O00299,C0039,P071,2,2022-04-01,Same,Electronics,115.08,230.16,2022,4
299,O00300,C0244,P041,3,2022-04-07,Behind,Footwear,465.37,1396.1100000000001,2022,4
300,O00301,C0112,P074,3,2022-04-28,Add,Electronics,400.3,1200.9,2022,4
301,O00302,C0094,P096,2,2022-04-22,Service,Footwear,872.76,1745.52,2022,4
302,O00303,C0256,P095,2,2022-04-30,Program,Clothing,23.02,46.04,2022,4
303,O00304,C0121,P095,2,2022-04-26,Program,Clothing,23.02,46.04,2022,4
304,O00305,C0447,P034,2,2022-04-17,Many,Electronics,525.45,1050.9,2022,4
305,O00306,C0118,P026,2,2022-04-10,North,Accessories,842.62,1685.24,2022,4
306,O00307,C0429,P080,3,2022-04-07,Organization,Footwear,642.94,1928.8200000000002,2022,4
307,O00308,C0080,P100,1,2022-04-02,Everything,Home,922.89,922.89,2022,4
308,O00309,C0062,P011,4,2022-04-26,Senior,Electronics,761.43,3045.72,2022,4
309,O00310,C0315,P001,5,2022-04-20,Stage,Clothing,534.93,2674.6499999999996,2022,4
310,O00311,C0491,P006,4,2022-04-17,Keep,Electronics,990.01,3960.04,2022,4
311,O00312,C0191,P080,3,2022-04-17,Organization,Footwear,642.94,1928.8200000000002,2022,4
312,O00313,C0253,P074,3,2022-04-23,Add,Electronics,400.3,1200.9,2022,4
313,O00314,C0252,P024,5,2022-04-08,Night,Footwear,742.42,3712.1,2022,4
